Project,FromLevel,ToLevel,InputMockCount,OutputMockCount,CCTRReduction,CCTRReductionPerTest,AffectedTestsCCTR,ReductionRatio,ReductionRatio_num,ecdf_x,ecdf_y
Camel,2,0,1,6,27,4.5,44,61%,0.61,0.7091988130563798,0.61
Camel,1,0,1,6,7,1.166666667,44,16%,0.16,0.26112759643916916,0.16
Camel,1,0,1,2,12,6.0,17,71%,0.71,0.7359050445103857,0.71
Camel,1,0,1,1,2,2.0,16,13%,0.13,0.19881305637982197,0.13
Camel,2,0,1,1,2,2.0,16,13%,0.13,0.20178041543026706,0.13
Camel,2,0,1,4,10,2.5,39,26%,0.26,0.47774480712166173,0.26
Camel,1,0,1,3,6,2.0,42,14%,0.14,0.23738872403560832,0.14
Camel,1,0,1,3,6,2.0,42,14%,0.14,0.2403560830860534,0.14
Camel,2,0,1,3,12,4.0,42,29%,0.29,0.49554896142433236,0.29
Camel,2,0,1,2,15,7.5,16,94%,0.94,0.798219584569733,0.94
Camel,1,0,1,2,2,1.0,16,13%,0.13,0.20474777448071216,0.13
Camel,2,0,1,4,10,2.5,40,25%,0.25,0.456973293768546,0.25
Camel,1,0,1,3,6,2.0,42,14%,0.14,0.2433234421364985,0.14
Camel,1,0,1,3,6,2.0,42,14%,0.14,0.24629080118694363,0.14
Camel,2,0,1,3,12,4.0,42,29%,0.29,0.49851632047477745,0.29
Camel,2,0,1,5,30,6.0,31,97%,0.97,0.8100890207715133,0.97
Camel,1,0,1,5,6,1.2,31,19%,0.19,0.3086053412462908,0.19
Camel,2,0,1,1,3,3.0,9,33%,0.33,0.5489614243323442,0.33
Camel,1,0,1,1,1,1.0,9,11%,0.11,0.18100890207715134,0.11
Camel,2,0,1,6,44,7.333333333,81,54%,0.54,0.6706231454005934,0.54
Camel,2,0,1,7,30,4.285714286,104,29%,0.29,0.5014836795252225,0.29
Camel,2,0,1,12,56,4.666666667,144,39%,0.39,0.5756676557863502,0.39
Camel,1,0,1,8,16,2.0,122,13%,0.13,0.20771513353115728,0.13
Camel,1,0,1,4,8,2.0,74,11%,0.11,0.18397626112759644,0.11
Camel,2,0,1,6,60,10.0,108,56%,0.56,0.685459940652819,0.56
Camel,2,0,1,3,18,6.0,19,95%,0.95,0.8071216617210683,0.95
Camel,1,0,1,3,4,1.333333333,19,21%,0.21,0.3264094955489614,0.21
Camel,2,0,1,6,68,11.33333333,62,110%,1.1,0.857566765578635,1.1
Camel,2,0,1,2,16,8.0,31,52%,0.52,0.6646884272997032,0.52
Camel,2,0,1,2,16,8.0,27,59%,0.59,0.7002967359050445,0.59
Camel,2,0,1,6,60,10.0,69,87%,0.87,0.771513353115727,0.87
Camel,2,0,1,2,34,17.0,43,79%,0.79,0.7507418397626113,0.79
Camel,2,0,1,3,30,10.0,31,97%,0.97,0.8130563798219584,0.97
Camel,2,0,1,4,40,10.0,37,108%,1.08,0.8456973293768546,1.08
Camel,2,0,1,3,30,10.0,31,97%,0.97,0.8160237388724035,0.97
