Direction,RecordCount,TotalInputMocks,TotalOutputMocks,AvgTestCount,AvgCCTRChange,AvgCCTRChangePerTest,AvgPctChange,WeightedPctChange
Downgrade,10217.0,10217.0,44356.0,4.341391797983753,8.218067926005677,1.7212336181122736,0.3086689502112964,0.16857397547401642
Upgrade,6908.0,31774.0,6908.0,4.194557035321367,-11.610017371163869,-3.0318884304755387,-0.22985921574433724,-0.14492591254065776
