Project,ConvertedFrom,ConvertedTo,BeforeCount,AfterCount,CCTRChange,CCTRChangePerTest,%
CloudStack,0,1,2,1,-6.0,-3.0,-0.6
CloudStack,0,1,2,1,-6.0,-3.0,-1.0
CloudStack,0,2,2,1,-10.0,-5.0,-0.625
CloudStack,0,1,2,1,-4.0,-2.0,-0.5
CloudStack,0,2,3,1,-9.0,-3.0,-0.6923076923076923
CloudStack,0,1,2,1,-22.0,-11.0,-0.9166666666666666
CloudStack,0,2,3,1,-9.0,-3.0,-0.5
CloudStack,0,1,4,1,-8.0,-2.0,-1.0
CloudStack,0,1,2,1,-2.0,-1.0,-0.3333333333333333
CloudStack,0,1,3,1,-9.0,-3.0,-1.0
CloudStack,0,1,3,1,-3.0,-1.0,-0.3333333333333333
CloudStack,0,2,13,1,-39.0,-3.0,-0.7222222222222222
CloudStack,0,2,11,1,-11.0,-1.0,-0.2682926829268293
CloudStack,0,1,3,1,-7.0,-2.333333333333333,-0.5384615384615384
CloudStack,0,1,4,1,-4.0,-1.0,-0.3333333333333333
CloudStack,0,2,3,1,-3.0,-1.0,-0.15789473684210525
CloudStack,0,1,3,1,-21.0,-7.0,-1.0
CloudStack,0,1,3,1,-33.0,-11.0,-1.0
CloudStack,0,2,2,1,-6.0,-3.0,-0.6666666666666666
CloudStack,0,2,3,1,-9.0,-3.0,-0.5294117647058824
CloudStack,0,2,2,1,-6.0,-3.0,-0.5
CloudStack,0,1,4,1,-16.0,-4.0,-1.0
CloudStack,0,1,5,1,-25.0,-5.0,-0.78125
CloudStack,0,1,2,1,-2.0,-1.0,-1.0
CloudStack,0,2,83,1,-255.0,-3.072289156626506,-0.5059523809523809
CloudStack,0,2,50,1,-60.0,-1.2,-0.20618556701030927
CloudStack,0,1,3,1,-33.0,-11.0,-0.8461538461538461
CloudStack,0,2,16,1,-48.0,-3.0,-0.64
CloudStack,0,1,5,1,-10.0,-2.0,-1.0
CloudStack,0,2,4,1,-12.0,-3.0,-0.3870967741935484
CloudStack,0,1,4,1,-12.0,-3.0,-0.6
CloudStack,0,1,6,1,-6.0,-1.0,-0.3333333333333333
CloudStack,0,1,6,1,-6.0,-1.0,-0.3333333333333333
CloudStack,0,1,3,1,-2.0,-0.6666666666666666,-0.3333333333333333
CloudStack,0,1,2,1,-2.0,-1.0,-0.3333333333333333
CloudStack,0,1,2,1,-6.0,-3.0,-0.75
CloudStack,0,1,2,1,-2.0,-1.0,-0.25
CloudStack,0,1,4,1,-4.0,-1.0,-1.0
CloudStack,0,1,4,1,-20.0,-5.0,-1.0
CloudStack,0,1,2,1,-18.0,-9.0,-1.0
CloudStack,0,1,8,1,-8.0,-1.0,-1.0
CloudStack,0,2,2,1,-6.0,-3.0,-0.5
CloudStack,0,2,2,1,-10.0,-5.0,-0.625
CloudStack,0,1,2,1,-2.0,-1.0,-0.4
CloudStack,0,2,12,1,-12.0,-1.0,-0.2857142857142857
CloudStack,0,1,2,1,-2.0,-1.0,-1.0
CloudStack,0,1,3,1,-27.0,-9.0,-1.0
CloudStack,0,2,2,1,-6.0,-3.0,-0.6
CloudStack,0,1,3,1,-9.0,-3.0,-1.0
CloudStack,0,2,2,1,-2.0,-1.0,-0.2
CloudStack,0,1,2,1,-2.0,-1.0,-1.0
CloudStack,0,2,2,1,-14.0,-7.0,-0.6363636363636364
CloudStack,0,1,4,1,-12.0,-3.0,-0.6
CloudStack,0,2,6,1,-30.0,-5.0,-0.6
CloudStack,0,1,4,1,-12.0,-3.0,-0.6
CloudStack,0,1,4,1,-4.0,-1.0,-1.0
CloudStack,0,1,2,1,-2.0,-1.0,-1.0
CloudStack,0,2,2,1,-6.0,-3.0,-0.17647058823529413
CloudStack,0,1,2,1,-6.0,-3.0,-0.42857142857142855
CloudStack,0,2,12,1,-37.0,-3.083333333333333,-0.5522388059701493
CloudStack,0,1,5,1,-7.0,-1.4,-0.4117647058823529
CloudStack,0,2,2,1,-5.0,-2.5,-0.45454545454545453
CloudStack,0,1,4,1,-4.0,-1.0,-0.3333333333333333
CloudStack,0,1,4,1,-4.0,-1.0,-0.3333333333333333
CloudStack,0,1,2,1,-6.0,-3.0,-0.6
CloudStack,0,2,3,1,-9.0,-3.0,-0.6923076923076923
CloudStack,0,1,2,1,-2.0,-1.0,-0.3333333333333333
CloudStack,0,1,3,1,-3.0,-1.0,-0.75
CloudStack,0,1,3,1,0.0,-0.0,
CloudStack,0,1,2,1,-2.0,-1.0,-1.0
CloudStack,0,2,3,1,-19.0,-6.333333333333333,-0.5757575757575758
CloudStack,0,2,7,1,-21.0,-3.0,-0.84
CloudStack,0,1,2,1,-2.0,-1.0,-0.25
CloudStack,0,1,2,1,-2.0,-1.0,-0.6666666666666666
CloudStack,0,1,4,1,-4.0,-1.0,-0.8
CloudStack,0,1,3,1,-39.0,-13.0,-0.9069767441860465
CloudStack,0,1,2,1,-14.0,-7.0,-0.7777777777777778
