convertedLevel,instanceId,# of L0,CCTR,converted CCTR,CCTR / test,converted CCTR / test,CCTR reduction,CCTR reduction / test
1,5337,20405,14.456810942477047,5.572044219599026,3.7396962080553955,1.367485218741611,8.884766722878021,2.3722109893137846
2,2173,13794,37.64887252646111,19.034054302807178,6.296748987500902,3.039313502737289,18.614818223653934,3.2574354847636133
