Project,FromLevel,ToLevel,InputMockCount,OutputMockCount,CCTRReduction,CCTRReductionPerTest,AffectedTestsCCTR,ReductionRatio,ReductionRatio_num,ecdf_x,ecdf_y
CloudStack,0,2,6,1,-18,-3.0,87,-21%,-0.21,0.31685789938217124,-0.21
CloudStack,0,2,2,1,-6,-3.0,12,-50%,-0.5,0.05736981465136805,-0.5
CloudStack,0,1,2,1,-2,-1.0,42,-5%,-0.05,0.7793468667255075,-0.05
CloudStack,0,2,2,1,-6,-3.0,36,-17%,-0.17,0.41041482789055606,-0.17
CloudStack,0,1,2,1,-2,-1.0,6,-33%,-0.33,0.15710503089143865,-0.33
CloudStack,0,1,3,1,-9,-3.0,20,-45%,-0.45,0.0820829655781112,-0.45
CloudStack,0,1,3,1,0,0.0,0,,,,
CloudStack,0,2,4,1,-4,-1.0,163,-2%,-0.02,0.9452780229479258,-0.02
CloudStack,0,1,2,1,-2,-1.0,29,-7%,-0.07,0.6919682259488085,-0.07
CloudStack,0,2,13,1,-39,-3.0,251,-16%,-0.16,0.4315975286849073,-0.16
CloudStack,0,2,6,1,-6,-1.0,141,-4%,-0.04,0.8508384819064431,-0.04
CloudStack,0,1,2,1,-2,-1.0,33,-6%,-0.06,0.732568402471315,-0.06
CloudStack,0,1,4,1,-12,-3.0,63,-19%,-0.19,0.36363636363636365,-0.19
CloudStack,0,1,2,1,-6,-3.0,17,-35%,-0.35,0.14298323036187113,-0.35
CloudStack,0,1,4,1,-20,-5.0,47,-43%,-0.43,0.09355692850838482,-0.43
CloudStack,0,1,2,1,0,0.0,0,,,,
CloudStack,0,1,2,1,-6,-3.0,116,-5%,-0.05,0.7802294792586054,-0.05
CloudStack,0,1,2,1,-2,-1.0,78,-3%,-0.03,0.9020300088261254,-0.03
CloudStack,0,1,3,1,-9,-3.0,112,-8%,-0.08,0.6557811120917917,-0.08
CloudStack,0,1,2,1,-2,-1.0,20,-10%,-0.1,0.5939982347749339,-0.1
CloudStack,0,1,3,1,-3,-1.0,10,-30%,-0.3,0.1915269196822595,-0.3
CloudStack,0,2,5,1,-5,-1.0,139,-4%,-0.04,0.851721094439541,-0.04
CloudStack,0,2,5,1,-5,-1.0,126,-4%,-0.04,0.852603706972639,-0.04
CloudStack,0,1,5,1,-5,-1.0,75,-7%,-0.07,0.6928508384819064,-0.07
CloudStack,0,2,3,1,-3,-1.0,29,-10%,-0.1,0.5948808473080318,-0.1
CloudStack,0,1,2,1,-2,-1.0,48,-4%,-0.04,0.853486319505737,-0.04
CloudStack,0,1,8,1,-8,-1.0,79,-10%,-0.1,0.5957634598411298,-0.1
CloudStack,0,1,2,1,-10,-5.0,21,-48%,-0.48,0.0706090026478376,-0.48
CloudStack,0,1,2,1,-2,-1.0,12,-17%,-0.17,0.411297440423654,-0.17
CloudStack,0,1,3,1,-39,-13.0,108,-36%,-0.36,0.13857016769638128,-0.36
CloudStack,0,2,3,1,-15,-5.0,66,-23%,-0.23,0.2797881729920565,-0.23
CloudStack,0,2,3,1,-9,-3.0,57,-16%,-0.16,0.4324801412180053,-0.16
CloudStack,0,1,2,1,-2,-1.0,68,-3%,-0.03,0.9029126213592233,-0.03
CloudStack,0,2,15,1,-45,-3.0,676,-7%,-0.07,0.6937334510150044,-0.07
CloudStack,0,1,2,1,-2,-1.0,36,-6%,-0.06,0.733451015004413,-0.06
CloudStack,0,1,3,1,-9,-3.0,47,-19%,-0.19,0.3645189761694616,-0.19
CloudStack,0,2,2,1,-2,-1.0,30,-7%,-0.07,0.6946160635481023,-0.07
CloudStack,0,1,2,1,-2,-1.0,14,-14%,-0.14,0.48631950573698146,-0.14
CloudStack,0,1,2,1,-2,-1.0,144,-1%,-0.01,0.9805825242718447,-0.01
CloudStack,0,1,3,1,-9,-3.0,24,-38%,-0.38,0.12709620476610767,-0.38
CloudStack,0,1,2,1,-6,-3.0,21,-29%,-0.29,0.20388349514563106,-0.29
CloudStack,0,1,2,1,-2,-1.0,105,-2%,-0.02,0.9461606354810238,-0.02
CloudStack,0,1,2,1,-2,-1.0,90,-2%,-0.02,0.9470432480141218,-0.02
CloudStack,0,1,6,1,-6,-1.0,79,-8%,-0.08,0.6566637246248896,-0.08
CloudStack,0,1,3,1,-9,-3.0,73,-12%,-0.12,0.5472197705207414,-0.12
CloudStack,0,1,3,1,-9,-3.0,24,-38%,-0.38,0.12797881729920565,-0.38
CloudStack,0,1,3,1,-27,-9.0,112,-24%,-0.24,0.27007943512797883,-0.24
CloudStack,0,2,18,1,-19,-1.055555556,322,-6%,-0.06,0.7343336275375111,-0.06
