project,repository
IoTDB,https://github.com/apache/iotdb.git
Ivy,https://github.com/apache/ant-ivy.git
IvyDE,https://github.com/apache/ant-ivyde.git
Jackrabbit,https://github.com/apache/jackrabbit.git
Jakarta-Cactus,https://github.com/apache/jakarta-cactus.git
JAMES,https://github.com/apache/james-project.git
jclouds,https://github.com/apache/jclouds.git
Jena,https://github.com/apache/jena.git
JMeter,https://github.com/apache/jmeter.git
JSPWiki,https://github.com/apache/jspwiki.git
Karaf,https://github.com/apache/karaf.git
Kerby,https://github.com/apache/directory-kerby.git
Knox,https://github.com/apache/knox.git
Kylin,https://github.com/apache/kylin.git
Lens,https://github.com/apache/lens.git
Lenya,https://github.com/apache/lenya.git
Linkis,https://github.com/apache/linkis.git
Log4j,https://github.com/apache/logging-log4j2.git
Lucene-Core,https://github.com/apache/lucene.git
Mahout,https://github.com/apache/mahout.git
ManifoldCF,https://github.com/apache/manifoldcf.git
Marmotta,https://github.com/apache/marmotta.git
Maven,https://github.com/apache/maven.git
Maven-Doxia,https://github.com/apache/maven-doxia.git
MetaModel,https://github.com/apache/metamodel.git
MINA,https://github.com/apache/mina.git
MRUnit,https://github.com/apache/mrunit.git
MyFaces,https://github.com/apache/myfaces.git
NetBeans,https://github.com/apache/netbeans.git
Nutch,https://github.com/apache/nutch.git
ODE,https://github.com/apache/ode.git
OFBiz,https://github.com/apache/ofbiz-framework.git
Lingo,https://github.com/apache/olingo-odata4.git
Oltu-Parent,https://github.com/apache/oltu.git
OODT,https://github.com/apache/oodt.git
Oozie,https://github.com/apache/oozie.git
OpenJPA,https://github.com/apache/openjpa.git
OpenMeetings,https://github.com/apache/openmeetings.git
OpenNLP,https://github.com/apache/opennlp.git
OpenWebBeans,https://github.com/apache/openwebbeans.git
ORC,https://github.com/apache/orc.git
ORO,https://github.com/apache/jakarta-oro.git
Ozone,https://github.com/apache/ozone.git
Parquet,https://github.com/apache/parquet-mr.git
PDFBox,https://github.com/apache/pdfbox.git
Phoenix,https://github.com/apache/phoenix.git
Pig,https://github.com/apache/pig.git
Pinot,https://github.com/apache/pinot.git
Pivot,https://github.com/apache/pivot.git
PLC4X,https://github.com/apache/plc4x.git
POI,https://github.com/apache/poi.git
Polygene,https://github.com/apache/polygene-java.git
Portals,https://github.com/apache/portals-pluto.git
Props-Ant-Library,https://github.com/apache/ant-antlibs-props.git
Pulsar,https://github.com/apache/pulsar.git
Qpid,https://github.com/apache/qpid-broker-j.git
Ranger,https://github.com/apache/ranger.git
Rat,https://github.com/apache/creadur-rat.git
REEF,https://github.com/apache/reef.git
Regexp,https://github.com/apache/jakarta-regexp.git
River,https://github.com/apache/river.git
Roller,https://github.com/apache/roller.git
Sandesha2,https://github.com/apache/axis-axis2-java-sandesha2.git
Santuario,https://github.com/apache/santuario-java.git
SeaTunnel,https://github.com/apache/seatunnel.git
ServiceMix,https://github.com/apache/servicemix.git
Shale,https://github.com/apache/shale.git
Shindig,https://github.com/apache/shindig.git
Shiro,https://github.com/apache/shiro.git
SkyWalking,https://github.com/apache/skywalking.git
Sling,https://github.com/apache/sling.git
Solr,https://github.com/apache/solr.git
