project,java_files,classes,methods,total_loc,java_loc
pig,1791,3421,25579,1466018,401355
pinot,5012,7682,63502,7208661,977070
plc4x,5169,8614,64641,4749890,911543
pulsar,4436,6940,49156,3285692,927601
qpid-broker-j,3071,4003,32959,1909919,536163
ranger,1806,2950,24567,2130145,465298
reef,2233,3280,10339,724904,182676
roller,623,724,6579,2433622,98050
seatunnel,3979,4630,29388,1309534,539797
shiro,857,1350,6136,391381,95127
skywalking,2151,2705,10324,1838960,199342
solr,4299,7108,57803,7702371,970303
spark,1224,2093,11485,8364634,173555
sqoop,719,1212,8398,320168,131017
storm,2014,4456,28572,2036312,397146
struts,2217,3473,23743,1116725,298185
submarine,411,763,5685,647496,110089
syncope,3249,3777,23212,1327215,394497
tez,1193,2395,15684,1015885,278554
tika,1660,2525,16596,6645495,263636
tomee,6261,11401,58892,2326260,835864
tsfile,769,1090,9420,488538,134531
turbine-core,434,857,3326,455267,69273
whirr,275,329,1772,133866,29273
wicket,3318,5364,24423,1828487,429271
ws-axiom,2045,2291,9542,437456,149125
xmlgraphics-commons,412,708,4157,172965,68684
xmlgraphics-fop,2087,4072,25765,4541574,382912
zeppelin,834,1980,14566,1718654,205129
zookeeper,958,1753,11881,1564700,191857
