project_name,mock_object_count,mock_pattern_level_0,mock_pattern_level_1,mock_pattern_level_2,mock_pattern_level_3
Kiota-java,62,62,0,0,0
Spring_Integration,759,703,31,25,0
Spring_Security,2693,1983,452,258,0
