ConvertedFrom,ConvertedTo,ConversionCount,TotalBeforeMocks,TotalAfterMocks,AvgBeforeCount,AvgAfterCount,AvgAddedCCTR,AvgCCTRChange,AvgCCTRChangePerTest,AvgCCTRChangePercent
0,1 / 2,7510,34199,7510,4.553794940079894,1.0,21.167376830892145,-11.700133155792276,-2.628348516425965,-63.69
1 / 2,0,16399,16399,56889,1.0,3.4690529910360386,2.59408678571676,36.409598146228426,3.2443728466563617,1686.22
