MockLevel,MockObjectCount,TotalTestCount,AvgTestPerMock,AvgAddedCCTR_perTest,AvgAddedCCTR_perMock
0,43048,43048,1.0,4.580352165025088,4.580352165025088
1,9718,24885,2.560712080675036,1.7325455491989827,4.29841531179255
2,6681,32004,4.790300853165694,3.847261121367074,16.387067804220926
